2026-04-09T16:06:05.756058Z  INFO semver_analyzer::orchestrator: Running dep repo build command command=source ~/.nvm/nvm.sh && nvm exec "20.11.0" bash -c 'export NODE_ENV=development && yarn install && npx gulp buildPatternfly' worktree=/private/tmp/semver-pipeline-v2/repos/patternfly/.semver-worktrees/v6.4.0
2026-04-09T16:06:06.856721Z  WARN semver_analyzer::orchestrator: Dep repo build failed exit_code=Some(1) stderr=error This project's package.json defines "packageManager": "yarn@4.10.3". However the current global version of Yarn is 1.22.22.

Presence of the "packageManager" field indicates that the project is meant to be used with Corepack, a tool included by default with all official Node.js distributions starting from 16.9 and 14.19.
Corepack must currently be enabled by running corepack enable in your terminal. For more information, check out https://yarnpkg.com/corepack.
2026-04-09T16:06:06.856809Z  INFO semver_analyzer::orchestrator: Created dep repo worktree for CSS extraction dep_repo=/tmp/semver-pipeline-v2/repos/patternfly dep_ref=v6.4.0 worktree=/private/tmp/semver-pipeline-v2/repos/patternfly/.semver-worktrees/v6.4.0
2026-04-09T16:06:06.877152Z  INFO semver_analyzer::orchestrator: Detected removed CSS component blocks between dep-repo versions count=8 blocks=["AppLauncher", "Chip", "ContextSelector", "Dropdown", "LogViewer", "NotificationBadge", "OptionsMenu", "Select"]
2026-04-09T16:06:06.880394Z  INFO semver_analyzer_ts::css_profile: CSS profiles extracted from dir profiles=0
2026-04-09T16:06:06.978889Z  INFO sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: changed component files found count=507
2026-04-09T16:06:07.709959Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=CodeEditor changes=51
2026-04-09T16:06:07.905873Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=AccordionContent changes=3
2026-04-09T16:06:07.940835Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=AccordionItem changes=8
2026-04-09T16:06:07.959688Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=AccordionToggle changes=2
2026-04-09T16:06:07.976301Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ActionList changes=1
2026-04-09T16:06:08.023595Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ActionListGroup changes=2
2026-04-09T16:06:08.044668Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ActionListItem changes=1
2026-04-09T16:06:08.073055Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Alert changes=3
2026-04-09T16:06:08.090758Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=AlertActionCloseButton changes=1
